"id_str","text"
"1274645037486206976","RT @JKDaulay: ""Ada beberapa hal janggal dari semua hal yang dialami, dari rekaman CCTV, bentuk luka, perban, dan kepala yang diperban. Tapi, tiba-tiba malah mata yang buta,"" kata Dewi.
https://t.co/2KNVEC5cdn

gimmick dihiasi dengan playing victim.
kadrun banget 😁

#BasmiCovidDanKadrunKomunis"
"1274644999825584128","RT @AnakKolong_: HUTANG LAPINDO +/- 1 BULAN LAGI JATUH TEMPO | 
.
.
.
1. Kelompok 212 hingga Novel Baswedan sdh di panggungnya. 
.
.
Jika mereka JUJUR mereka tahu bhw dunia politik adalah PASAR &amp; semua pentas mereka hanyalah teknik transaksional, ya mereka hanya SIMBOL POLITIK YG DIPERDAGANGKAN. https://t.co/hT5sJUgO07"
"1274644842182664193","RT @TeddyGusnaidi: Novel jadi korban penyiraman air keras, wajar jika menuntut keadilan. Begitupun korban penganiayaan kasus sarang burung wallet, wajar jika menuntut keadilan. Jangan malah dituduh rekayasa..

Hukum tidak bisa diatur sesuai selera anda, Novel baswedan.."
"1274644835106988032","RT @TeddyGusnaidi: Novel jadi korban penyiraman air keras, wajar jika menuntut keadilan. Begitupun korban penganiayaan kasus sarang burung wallet, wajar jika menuntut keadilan. Jangan malah dituduh rekayasa..

Hukum tidak bisa diatur sesuai selera anda, Novel baswedan.."
"1274644640893788160","""Apakah kontribusi bagi peradaban yang diberikan dari persidangan kasus Novel Baswedan?""

Prof Sigit Riyanto Dekan FH UGM memberi pertanyaan sulit ini di webinar #EnggakSengaja Eksaminasi Perkara Novel Baswedan.

Guru dengan ""G"" besar. Salut."
"1274644112411553794","[BREAKING] ""Masyarakat sipil butuh negara sebagai penentu dan pelaksana kebijakan, serta memenuhi hak-hak dasar. Persidangan kasus Novel Baswedan yang belum memberikan keadilan menjadi tanda pengabaian negara terhadap keadilan sekaligus upaya pemberantasan korupsi."" kata Gita."
"1274644105134366720","RT @Aryprasetyo85: #RekayasaDidzolimi 
Eksekusi penembakan dilakukan pada malam hari.

Novel tampak menembak kaki kiri Erwansyah menggunakan senjata api jenis revolver berisi enam peluru hingga tersangka tersungkur. Lalu Novel juga menembak kaki kanan Dedi Muryadi.
https://t.co/tu6QB5mOjN"
"1274643726288056321","RT @amnestyindo: [BREAKING] ""Kejanggalan-kejanggalan sangat mencolok: manipulasi bukti dan fakta hingga penghilangan BAP saksi dalam sidang menunjukkan buruknya kualitas penegakan hukum dalam kasus Novel Baswedan."" kata Arif. #EnggakSengaja https://t.co/1K7ritQ0vb"
"1274643471983210496","RT @syifaz1995: Luar biasa ini ucapan selamat ultah buat Bapak Jokowi dari @nazaqistsha.

Semoga saja kasus walet juga dapatkan keadilan ya pak @nazaqistsha.
https://t.co/F7iYgsrCME"
"1274643442791067649","Apapun Putusan Hakim, Novel Baswedan: Tak Ada Gunanya Menyurati Presiden https://t.co/V0a9ZEVlrc"
"1274643220983504897","RT @BadjaNuswantara: Neta S Pane: ""Kasus (air keras) didramatisasi &amp; dipolitisasi...tujuannya hy utk menutupi kasus Novel yg sdh mjd tersangka pembunuhan...
Tragisnya,... orang2 yg mlakukan penyesatan hukum itu adlh pakar2 hukum, aktivis HAM"".

SPEECHLESS😶 
#RekayasaDidzolimi
https://t.co/WB3ftlIrpj"
"1274643026644627457","@romiyooo Novel baswedan"
"1274642749006860288","RT @TeddyGusnaidi: Novel jadi korban penyiraman air keras, wajar jika menuntut keadilan. Begitupun korban penganiayaan kasus sarang burung wallet, wajar jika menuntut keadilan. Jangan malah dituduh rekayasa..

Hukum tidak bisa diatur sesuai selera anda, Novel baswedan.."
"1274642148919398400","RT @AnakKolong_: 18. Spt halnya Floyd, namanya diseret dari gedung ""PUTIH"",pejarahan di Rodeo Drive, Pilpres, hingga dlm ""perang""CNN vs Fox News. 

Dan Carl Jung, BENAR !! 

Novel ""BASWEDAN"" sdh jd Simbol/PATUNG/ BERHALA POLITIK yg SEJAK AWAL sdh dikapitalisasi &amp; bisa diseret kemanapun. https://t.co/CW69ArAZr8"
"1274642007374217220","RT @AnakKolong_: 15. NOVEL BASWEDAN | oleh para kadrun,  SJW  &amp; Gelandangan Politik, didaulat sbg ""PATUNG/ SIMBOL"" Pahlawan Anti Korupsi yg didzolimi sekaligus sebagai TERSANGKA PEMBUNUHAN di masa lalunya.

OPINI PUBLIK TERBELAH..!! Pembelahan semakin tampak krn nama ""BASWEDAN"" yg MELEKAT. https://t.co/lpimA7fjvQ"
"1274641875077484546","RT @AnakKolong_: 12. ""Dengan adanya tiga kejanggalan tersebut, bisa dikatakan bahwa rekam medis Novel Baswedan dari Eye &amp; Surgeons Clinic yang ditayangkan Mata Najwa diduga rekam medis palsu"",ujar @GatotSwandito menutup tulisannya. 
.
.
.
.
#RekayasaDidzolimi https://t.co/wBdX6vn5eT"
"1274641803942064128","RT @AnakKolong_: 10. KEJANGGALAN KEDUA : pada rekam medis Novel Baswedan yang ditayangkan Mata Najwa adalah penulisan ""To Whom It Concern"". 

Kalimat ini janggal. Sebab, biasanya dituliskan ""To whom it may concern"".
.
.
.
#RekayasaDidzolimi https://t.co/GFvB6bgGWg"
"1274641725361799168","RT @AnakKolong_: 8. Di @kompasiana @GatotSwandito menulis :

""Jika diperhatikan, isi dari laporan rekam medis Novel Baswedan dari ERS yang diinformasikan Tempo ini sama seperti yang ditayangkan Mata Najwa"".
.
.
.
#RekayasaDidzolimi https://t.co/uUGB1mbKJ1"
"1274641646223650816","RT @AnakKolong_: 6. Saat itu, Novel dipindahkan setelah menjalani perawatan krn cedera kimia asam sulfat di Jakarta Eye Centre pada 11 April, pukul 5 pagi.,"" tulis @tempodotco
.
.
.
.
https://t.co/qTXpykHcij"
"1274641614539874306","RT @AnakKolong_: 5. @tempodotco menulis :
.
.
Laporan medis Novel dari Klinik Eye &amp; Retina Surgeons, Singapura, pd 26 Mei 2017, mencatat bhw Novel pertama kali datang ke klinik itu pada 12 April 2017. 
.
.
#RekayasaDidzolimi

https://t.co/qTXpykHcij"
"1274641612954456066","RT @KompasTV: Novel Baswedan Berharap di Ulang Tahun ke 59 Presiden Jokowi Tetap Ingat Penegakan Hukum https://t.co/5gOAQjr39d https://t.co/MKDNnWpVeX"
"1274641265217298432","RT @TeddyGusnaidi: Novel jadi korban penyiraman air keras, wajar jika menuntut keadilan. Begitupun korban penganiayaan kasus sarang burung wallet, wajar jika menuntut keadilan. Jangan malah dituduh rekayasa..

Hukum tidak bisa diatur sesuai selera anda, Novel baswedan.."
